node,community,delta
259,0,-0.0003938880074194971
259,1,-0.0006977600574647324
259,3,-0.000007910493223798687
258,0,-0.00019694400370974855
258,1,-0.0003488800287323662
258,3,-0.0003237846709189356
257,0,-0.0005251840098926628
257,1,-0.0009303467432863099
257,3,-0.0004369865567077801
256,0,-0.0002625920049463314
256,1,-0.00046517337164315493
256,3,-0.00043171289455858086
255,0,-0.0005251840098926628
255,1,-0.0009303467432863099
255,3,-0.0004369865567077801
254,0,-0.0007877760148389942
254,3,-0.0008686994512663608
253,0,-0.0007221280136024113
253,3,-0.0009739908438314064
252,0,-0.0007221280136024113
252,3,-0.0007607712276267156
251,0,-0.0009190720173121599
250,0,-0.0009847200185487427
249,0,-0.0007221280136024113
249,3,-0.0009739908438314064
248,0,-0.0005251840098926628
248,1,-0.0009303467432863099
248,3,-0.0004369865567077801
247,0,-0.0007877760148389942
246,0,-0.0009847200185487427
246,3,-0.000766044889775915
245,0,-0.000853424016075577
245,3,-0.000976627674906006
243,0,-0.0007877760148389942
243,3,-0.0006554798350616699
242,0,-0.0005251840098926628
242,1,-0.0009303467432863099
242,3,-0.0008634257891171617
241,0,-0.0009847200185487427
241,3,-0.000766044889775915
240,0,-0.0009190720173121599
240,3,-0.0008713362823409603
239,3,-0.0008739731134155601
238,0,-0.0006564800123658285
237,0,-0.0006564800123658285
237,3,-0.0008660626201917612
236,0,-0.0009847200185487427
236,3,-0.000766044889775915
235,0,-0.0009190720173121599
234,0,-0.000853424016075577
233,0,-0.0009847200185487427
233,3,-0.0009792645059806056
232,0,-0.0002625920049463314
232,1,-0.00046517337164315493
232,3,-0.00043171289455858086
231,0,-0.00032824000618291425
231,1,-0.0005814667145539437
231,3,-0.000539641118198226
230,0,-0.0002625920049463314
230,1,-0.00046517337164315493
230,3,-0.00043171289455858086
229,0,-0.0005908320111292456
229,3,-0.0005449147803474252
228,0,-0.000853424016075577
228,3,-0.0005501884424966244
227,0,-0.0006564800123658285
227,3,-0.0006528430039870704
226,0,-0.0007221280136024113
226,3,-0.0007607712276267156
225,0,-0.0006564800123658285
225,3,-0.0006528430039870704
224,0,-0.0007221280136024113
224,3,-0.0007607712276267156
217,2,-0.0009155259341428706
196,0,-0.00032824000618291425
196,1,-0.0005814667145539437
196,3,-0.000539641118198226
195,0,-0.0005908320111292456
195,3,-0.00033169516414273436
190,0,-0.0001312960024731657
190,1,-0.00023258668582157747
190,3,-0.00021585644727929043
189,0,-0.00032824000618291425
189,1,-0.0005814667145539437
